name,phone,type,tags,schedule,city,owner,web_info
Pecaditos,312065564,restaurant,papas,M,Chia,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Veggie Go,301600164,restaurant,vegetariana,M,Chia,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
New York Burgers,301327918,restaurant,hamburguesas,M,Chia,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Pipi Cucu,306270038,restaurant,postres,M,Chia,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
Bovinos Steak,313277365,restaurant,carnes,M,Duitama,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Casa Sushi,309191755,restaurant,sushi,M,Duitama,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
Mr Romano,301300434,restaurant,pasta,M,Duitama,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Recetas de mi tierra,312332470,restaurant,colombiana,M,Duitama,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
Almuerzos Don Jose,325464918,restaurant,casera,M,Duitama,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Mexicanos,323290691,restaurant,mexicana,M,Duitama,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
Helados Pacha,314944419,restaurant,helados,M,Fusagasuga,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Papas locas,313888899,restaurant,papas,M,Fusagasuga,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
Alitas y mas,315262265,restaurant,alitas,M,Fusagasuga,manuel.g@hotmail.com,https://imgur.com/eIQJnFk.jpg
Pizzahood,320458632,restaurant,pizza,M,Fusagasuga,sofia.m@hotmail.com,https://imgur.com/eIQJnFk.jpg
